Load_data,,,,,,,,,,,,,,,,
Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,,
,,,,,,,,343,9580,14918,10015,16592,21916,9646,,
,,,,,,,,344,9774,15210,10405,16794,23005,9920,,
,,,,,,,,345,10355,16118,10790,17090,24277,10238,,
,,,,,,,,346,10887,16944,10999,17332,25109,10485,,
,,,,,,,,347,11191,17421,11072,17422,25502,10671,,
,,,,,,,,348,11251,17508,11204,17530,25461,10991,,
,,,,,,,,349,11433,17793,11270,17580,25566,11026,,
,,,,,,,,350,11392,17728,11197,17461,25351,11219,,
,,,,,,,,351,11185,17400,11225,17363,25198,11310,,
,,,,,,,,352,10828,16845,11335,17264,25293,11475,,
,,,,,,,,353,10440,16237,11749,18086,26249,12012,,
,,,,,,,,354,11373,17694,12146,18982,27386,12431,,
,,,,,,,,355,11337,17625,12252,19148,27830,12084,,
,,,,,,,,356,11351,17652,11916,18392,27204,11739,,
,,,,,,,,357,11053,17183,11391,17543,26081,11200,,
,,,,,,,,358,9637,14966,10742,16487,24357,9819,,
,,,,,,,,359,8176,12685,10156,15665,22753,9694,,
,,,,,,,,360,8793,13672,9791,14959,21548,9435,,
,,,,,,,,361,9267,14459,9397,14647,20674,9354,,
,,,,,,,,362,8934,13946,9333,14503,20424,9539,,
,,,,,,,,363,8799,13741,9377,14552,20485,9675,,
,,,,,,,,364,8864,13843,9570,14836,20975,9784,,
,,,,,,,,365,9142,14278,9980,15587,21966,10171,,
,,,,,,,,366,9846,15377,10786,16475,23775,10759,,
,,,,,,,,367,11033,17239,11639,17341,26074,11165,,
,,,,,,,,368,11813,18447,12185,17756,27654,11344,,
,,,,,,,,369,12375,19316,12301,18086,28179,11363,,
,,,,,,,,370,12664,19753,12319,18082,28272,11561,,
,,,,,,,,371,12948,20196,12369,18001,28497,11661,,
,,,,,,,,372,12948,20185,12333,17903,28239,11747,,
,,,,,,,,373,12881,20078,12295,17811,28017,11852,,
,,,,,,,,374,12764,19893,12219,17639,27645,12201,,
,,,,,,,,375,12392,19310,12271,17413,27672,12624,,
,,,,,,,,376,11145,17356,12591,17210,28301,13323,,
,,,,,,,,377,11020,17165,13180,18499,30051,14577,,
,,,,,,,,378,12856,20042,13827,19837,31962,13806,,
,,,,,,,,379,12816,19975,13166,18805,30379,12847,,
,,,,,,,,380,11713,18249,12339,17661,28189,12076,,
,,,,,,,,381,11035,17196,11616,16488,26674,11713,,
,,,,,,,,382,8621,13420,10725,15136,24649,10540,,
,,,,,,,,383,7710,12004,10129,14357,22858,10368,,
,,,,,,,,384,8939,13937,10069,14956,21784,10098,,
,,,,,,,,385,9959,15544,9875,15283,20864,10074,,
,,,,,,,,386,9633,15040,9785,15219,20504,10278,,
,,,,,,,,387,9463,14780,9821,15375,20465,10329,,
,,,,,,,,388,9536,14896,9981,15894,20789,10491,,
,,,,,,,,389,9871,15418,10431,17099,21750,11014,,
,,,,,,,,390,10822,16904,11440,18737,23826,11848,,
,,,,,,,,391,12439,19446,12553,19570,26703,12237,,
,,,,,,,,392,13256,20712,12853,19154,28264,12331,,
,,,,,,,,393,13321,20801,12689,18591,28204,12151,,
,,,,,,,,394,13141,20503,12554,18131,27871,12071,,
,,,,,,,,395,13123,20475,12438,17889,27690,11981,,
,,,,,,,,396,12985,20249,12370,17819,27396,11983,,
,,,,,,,,397,12856,20044,12294,17634,27263,11984,,
,,,,,,,,398,12738,19857,12219,17426,26976,12197,,
,,,,,,,,399,12365,19271,12218,16938,26977,12408,,
,,,,,,,,400,10892,16964,12328,16624,27737,12799,,
,,,,,,,,401,10819,16854,12995,17993,29267,13741,,
,,,,,,,,402,12674,19762,13653,19429,31317,13384,,
,,,,,,,,403,12669,19748,12993,18556,29824,12365,,
,,,,,,,,404,11687,18214,12177,17529,27586,11840,,
,,,,,,,,405,10920,17023,11472,16342,26461,11177,,
,,,,,,,,406,8438,13136,10588,15012,24579,9989,,
,,,,,,,,407,7480,11643,9898,14420,22966,9947,,
,,,,,,,,408,8713,13584,9733,15224,21618,10127,,
,,,,,,,,409,9977,15571,9574,15537,20785,10119,,
,,,,,,,,410,9641,15053,9437,15514,20477,10225,,
,,,,,,,,411,9507,14849,9438,15734,20492,10221,,
,,,,,,,,412,9573,14953,9599,16360,20921,10336,,
,,,,,,,,413,9910,15481,10020,17665,21867,10804,,
,,,,,,,,414,10837,16929,10927,19521,23746,11506,,
,,,,,,,,415,12462,19482,11927,20306,26359,11934,,
,,,,,,,,416,13244,20692,12238,19675,27801,11980,,
,,,,,,,,417,13233,20659,12171,18805,28000,11941,,
