Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,425,680.0,75831.0,3436.0
,,,,,,,,426,641.0,71475.0,3239.0
,,,,,,,,427,617.0,68894.0,3122.0
,,,,,,,,428,575.0,64114.0,2905.0
,,,,,,,,429,524.0,58520.0,2652.0
,,,,,,,,430,483.0,53853.0,2440.0
,,,,,,,,431,453.0,50607.0,2293.0
,,,,,,,,432,432.0,48245.0,2186.0
,,,,,,,,433,418.0,46673.0,2115.0
,,,,,,,,434,414.0,46224.0,2094.0
,,,,,,,,435,422.0,47139.0,2136.0
,,,,,,,,436,438.0,48928.0,2217.0
,,,,,,,,437,456.0,50860.0,2304.0
,,,,,,,,438,489.0,54574.0,2473.0
,,,,,,,,439,527.0,58779.0,2663.0
,,,,,,,,440,567.0,63254.0,2866.0
,,,,,,,,441,604.0,67415.0,3055.0
,,,,,,,,442,645.0,71918.0,3259.0
,,,,,,,,443,675.0,75285.0,3411.0
,,,,,,,,444,690.0,77010.0,3490.0
,,,,,,,,445,699.0,77986.0,3534.0
,,,,,,,,446,710.0,79160.0,3587.0
,,,,,,,,447,711.0,79338.0,3595.0
,,,,,,,,448,698.0,77858.0,3528.0
,,,,,,,,449,662.0,73870.0,3347.0
,,,,,,,,450,617.0,68887.0,3121.0
,,,,,,,,451,595.0,66353.0,3007.0
,,,,,,,,452,553.0,61737.0,2797.0
,,,,,,,,453,503.0,56134.0,2543.0
,,,,,,,,454,462.0,51576.0,2337.0
,,,,,,,,455,432.0,48174.0,2183.0
,,,,,,,,456,412.0,45988.0,2084.0
,,,,,,,,457,400.0,44685.0,2025.0
,,,,,,,,458,398.0,44439.0,2013.0
,,,,,,,,459,407.0,45482.0,2061.0
,,,,,,,,460,424.0,47363.0,2146.0
,,,,,,,,461,442.0,49367.0,2237.0
,,,,,,,,462,479.0,53414.0,2420.0
,,,,,,,,463,518.0,57809.0,2619.0
,,,,,,,,464,556.0,62080.0,2813.0
,,,,,,,,465,589.0,65715.0,2978.0
,,,,,,,,466,621.0,69304.0,3140.0
,,,,,,,,467,643.0,71721.0,3250.0
,,,,,,,,468,653.0,72845.0,3301.0
,,,,,,,,469,661.0,73698.0,3340.0
,,,,,,,,470,666.0,74351.0,3369.0
,,,,,,,,471,668.0,74552.0,3378.0
,,,,,,,,472,660.0,73622.0,3336.0
,,,,,,,,473,631.0,70367.0,3189.0
,,,,,,,,474,592.0,66095.0,2995.0
,,,,,,,,475,575.0,64121.0,2905.0
,,,,,,,,476,536.0,59779.0,2709.0
,,,,,,,,477,490.0,54653.0,2476.0
,,,,,,,,478,452.0,50452.0,2286.0
,,,,,,,,479,426.0,47548.0,2154.0
,,,,,,,,480,409.0,45641.0,2068.0
