Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11
,,,,,,,,188,17512,1797,1360,2696,309,1663,2978,9246,2935,25715,100067
,,,,,,,,189,18142,1832,1387,2748,314,1695,3035,9422,2987,26438,98769
,,,,,,,,190,17877,1752,1326,2628,300,1622,2901,8911,2815,24891,94961
,,,,,,,,191,16926,1652,1251,2478,283,1530,2733,8299,2617,23533,87516
,,,,,,,,192,15576,1542,1167,2314,264,1428,2550,7650,2406,21931,81074
,,,,,,,,193,14013,1449,1096,2172,248,1342,2392,7088,2221,20251,75104
,,,,,,,,194,13197,1393,1055,2091,239,1292,2300,6736,2103,19231,70806
,,,,,,,,195,12725,1353,1024,2029,231,1254,2232,6484,2020,18599,68308
,,,,,,,,196,12573,1334,1010,2000,228,1237,2199,6369,1980,18396,67239
,,,,,,,,197,12475,1340,1014,2009,229,1242,2208,6402,1989,18577,67946
,,,,,,,,198,12940,1406,1065,2110,241,1304,2319,6764,2105,19874,71789
,,,,,,,,199,14265,1553,1176,2330,266,1439,2565,7606,2383,22651,79616
,,,,,,,,200,16665,1676,1269,2514,288,1552,2771,8318,2617,24361,84529
,,,,,,,,201,17827,1783,1351,2676,306,1651,2949,8867,2793,25391,88222
,,,,,,,,202,18033,1851,1402,2777,317,1714,3063,9227,2910,26394,91857
,,,,,,,,203,18432,1906,1443,2859,327,1764,3155,9567,3027,27413,95563
,,,,,,,,204,18305,1946,1473,2919,333,1800,3223,9820,3112,27674,98327
,,,,,,,,205,17840,1937,1467,2905,332,1792,3209,9808,3115,27151,100893
,,,,,,,,206,17692,1934,1465,2902,332,1790,3207,9824,3123,27809,103498
,,,,,,,,207,17148,1902,1441,2855,327,1760,3155,9679,3079,28145,105382
,,,,,,,,208,17222,1921,1454,2881,330,1777,3187,9850,3141,28015,107519
,,,,,,,,209,17011,1921,1454,2880,330,1776,3187,9899,3160,28581,108879
,,,,,,,,210,17841,1907,1443,2859,327,1762,3165,9895,3161,27702,107794
,,,,,,,,211,17353,1797,1360,2695,309,1662,2980,9283,2954,26390,102119
,,,,,,,,212,16058,1718,1301,2577,295,1589,2846,8807,2790,25672,97606
,,,,,,,,213,16950,1769,1339,2653,304,1637,2930,9083,2878,24998,96536
,,,,,,,,214,17249,1704,1290,2555,292,1578,2821,8672,2742,23754,91859
,,,,,,,,215,16661,1552,1175,2328,266,1438,2567,7756,2440,21702,84566
,,,,,,,,216,15469,1480,1121,2220,254,1371,2447,7339,2309,20754,78847
,,,,,,,,217,14056,1374,1040,2061,235,1273,2270,6722,2108,18962,73373
,,,,,,,,218,12977,1305,987,1958,224,1209,2154,6305,1970,17759,69590
,,,,,,,,219,12318,1257,952,1886,215,1165,2074,6026,1879,17021,67130
